1.60 	-4.1932828488E-04	-2.4991613434E-01
1.61 	-3.9887740310E-04	-2.4992022452E-01
1.62 	-3.7942392260E-04	-2.4992411522E-01
1.63 	-3.6091919954E-04	-2.4992781616E-01
1.64 	-3.4331696247E-04	-2.4993133661E-01
1.65 	-3.2657319663E-04	-2.4993468536E-01
1.66 	-3.1064603388E-04	-2.4993787079E-01
1.67 	-2.9549564804E-04	-2.4994090087E-01
1.68 	-2.8108415522E-04	-2.4994378317E-01
1.69 	-2.6737551921E-04	-2.4994652490E-01
1.70 	-2.5433546126E-04	-2.4994913291E-01
1.71 	-2.4193137445E-04	-2.4995161373E-01
1.72 	-2.3013224208E-04	-2.4995397355E-01
1.73 	-2.1890856020E-04	-2.4995621829E-01
1.74 	-2.0823226373E-04	-2.4995835355E-01
1.75 	-1.9807665639E-04	-2.4996038467E-01
1.76 	-1.8841634387E-04	-2.4996231673E-01
1.77 	-1.7922717035E-04	-2.4996415457E-01
1.78 	-1.7048615810E-04	-2.4996590277E-01
1.79 	-1.6217145006E-04	-2.4996756571E-01
1.80 	-1.5426225511E-04	-2.4996914755E-01
1.81 	-1.4673879615E-04	-2.4997065224E-01
1.82 	-1.3958226061E-04	-2.4997208355E-01
1.83 	-1.3277475343E-04	-2.4997344505E-01
1.84 	-1.2629925230E-04	-2.4997474015E-01
1.85 	-1.2013956508E-04	-2.4997597209E-01
1.86 	-1.1428028935E-04	-2.4997714394E-01
1.87 	-1.0870677387E-04	-2.4997825865E-01
1.88 	-1.0340508195E-04	-2.4997931898E-01
1.89 	-9.8361956590E-05	-2.4998032761E-01
1.90 	-9.3564787360E-05	-2.4998128704E-01
1.91 	-8.9001578834E-05	-2.4998219968E-01
1.92 	-8.4660920614E-05	-2.4998306782E-01
1.93 	-8.0531958793E-05	-2.4998389361E-01
1.94 	-7.6604368817E-05	-2.4998467913E-01
1.95 	-7.2868329664E-05	-2.4998542633E-01
1.96 	-6.9314499290E-05	-2.4998613710E-01
1.97 	-6.5933991269E-05	-2.4998681320E-01
1.98 	-6.2718352570E-05	-2.4998745633E-01
1.99 	-5.9659542421E-05	-2.4998806809E-01
2.00 	-5.6749912203E-05	-2.4998865002E-01
2.01 	-5.3982186325E-05	-2.4998920356E-01
2.02 	-5.1349444032E-05	-2.4998973011E-01
2.03 	-4.8845102095E-05	-2.4999023098E-01
2.04 	-4.6462898355E-05	-2.4999070742E-01
2.05 	-4.4196876063E-05	-2.4999116062E-01
2.06 	-4.2041368982E-05	-2.4999159173E-01
2.07 	-3.9990987222E-05	-2.4999200180E-01
2.08 	-3.8040603761E-05	-2.4999239188E-01
2.09 	-3.6185341623E-05	-2.4999276293E-01
2.10 	-3.4420561687E-05	-2.4999311589E-01
2.11 	-3.2741851085E-05	-2.4999345163E-01
2.12 	-3.1145012164E-05	-2.4999377100E-01
2.13 	-2.9626051997E-05	-2.4999407479E-01
2.14 	-2.8181172392E-05	-2.4999436377E-01
2.15 	-2.6806760396E-05	-2.4999463865E-01
2.16 	-2.5499379264E-05	-2.4999490012E-01
2.17 	-2.4255759862E-05	-2.4999514885E-01
2.18 	-2.3072792495E-05	-2.4999538544E-01
2.19 	-2.1947519126E-05	-2.4999561050E-01
2.20 	-2.0877125988E-05	-2.4999582457E-01
2.21 	-1.9858936539E-05	-2.4999602821E-01
2.22 	-1.8890404775E-05	-2.4999622192E-01
2.23 	-1.7969108863E-05	-2.4999640618E-01
2.24 	-1.7092745082E-05	-2.4999658145E-01
2.25 	-1.6259122068E-05	-2.4999674818E-01
2.26 	-1.5466155327E-05	-2.4999690677E-01
2.27 	-1.4711862031E-05	-2.4999705763E-01
2.28 	-1.3994356053E-05	-2.4999720113E-01
2.29 	-1.3311843255E-05	-2.4999733763E-01
2.30 	-1.2662616998E-05	-2.4999746748E-01
2.31 	-1.2045053880E-05	-2.4999759099E-01
2.32 	-1.1457609670E-05	-2.4999770848E-01
2.33 	-1.0898815453E-05	-2.4999782024E-01
2.34 	-1.0367273951E-05	-2.4999792655E-01
2.35 	-9.8616560340E-06	-2.4999802767E-01
2.36 	-9.3806973938E-06	-2.4999812386E-01
2.37 	-8.9231953834E-06	-2.4999821536E-01
2.38 	-8.4880060092E-06	-2.4999830240E-01
2.39 	-8.0740410713E-06	-2.4999838519E-01
2.40 	-7.6802654417E-06	-2.4999846395E-01
2.41 	-7.3056944761E-06	-2.4999853886E-01
2.42 	-6.9493915521E-06	-2.4999861012E-01
2.43 	-6.6104657267E-06	-2.4999867791E-01
2.44 	-6.2880695089E-06	-2.4999874239E-01
2.45 	-5.9813967402E-06	-2.4999880372E-01
2.46 	-5.6896805789E-06	-2.4999886206E-01
2.47 	-5.4121915826E-06	-2.4999891756E-01
2.48 	-5.1482358844E-06	-2.4999897035E-01
2.49 	-4.8971534575E-06	-2.4999902057E-01
2.50 	-4.6583164651E-06	-2.4999906834E-01
2.51 	-4.4311276902E-06	-2.4999911377E-01
2.52 	-4.2150190427E-06	-2.4999915700E-01
2.53 	-4.0094501382E-06	-2.4999919811E-01
2.54 	-3.8139069475E-06	-2.4999923722E-01
2.55 	-3.6279005108E-06	-2.4999927442E-01
2.56 	-3.4509657150E-06	-2.4999930981E-01
2.57 	-3.2826601311E-06	-2.4999934347E-01
2.58 	-3.1225629073E-06	-2.4999937549E-01
2.59 	-2.9702737173E-06	-2.4999940595E-01
2.60 	-2.8254117587E-06	-2.4999943492E-01
2.61 	-2.6876148012E-06	-2.4999946248E-01
2.62 	-2.5565382807E-06	-2.4999948869E-01
2.63 	-2.4318544374E-06	-2.4999951363E-01
2.64 	-2.3132514970E-06	-2.4999953735E-01
2.65 	-2.2004328902E-06	-2.4999955991E-01
2.66 	-2.0931165118E-06	-2.4999958138E-01
2.67 	-1.9910340149E-06	-2.4999960179E-01
2.68 	-1.8939301402E-06	-2.4999962121E-01
2.69 	-1.8015620773E-06	-2.4999963969E-01
2.70 	-1.7136988580E-06	-2.4999965726E-01
2.71 	-1.6301207784E-06	-2.4999967398E-01
2.72 	-1.5506188499E-06	-2.4999968988E-01
2.73 	-1.4749942763E-06	-2.4999970500E-01
2.74 	-1.4030579565E-06	-2.4999971939E-01
2.75 	-1.3346300125E-06	-2.4999973307E-01
2.76 	-1.2695393388E-06	-2.4999974609E-01
2.77 	-1.2076231746E-06	-2.4999975848E-01
2.78 	-1.1487266974E-06	-2.4999977025E-01
